,Date,Tweet,class
199,2022-12-31 17:51:49+00:00,@geravoin *L.O.L!!!* HOW OLD RU...???#HAPPY NEWYEAR 2023!!!!!!,2
200,2022-12-31 17:51:29+00:00,"Today before we have the last sleep in 2022 to get up in 2023, let us review wat all we did that made us feel low later on. Time just to see inward and decide to be better human beings in 2023. #Happy New Year 2023.",2
201,2022-12-31 17:43:48+00:00,"Last of 2022 #Wordle560 hope yr streak's intact #dailywordleclub #NewYearsEve 🥂🎉🥳 #Happy #Healthy #Safe #SaturdayVibes 

Wordle 560 5/6

⬜🟩⬜⬜⬜
⬜🟩🟨⬜🟨
🟨🟩⬜⬜🟨
🟨🟩🟩⬜🟩
🟩🟩🟩🟩🟩",2
202,2022-12-31 17:41:50+00:00,"#HAPPY NEW YEAR….🦋
 
#FREiNDzzzzzz….💯🤍",1
203,2022-12-31 17:34:40+00:00,"#happy new year all Friends
#2023
With
#Relaxing God",1
204,2022-12-31 17:30:24+00:00,"Happy New Year all welcome 2023 🎉🥳

#NewYear #HappyNewYear #2023NewYear #Filroll #entertainment #welcome2023 #happy",1
205,2022-12-31 17:28:43+00:00,Just few more hours for the best last day of 2022 and first day of 2023.🤗🥳🤫🎉 #happy #surprise #newyear2023 #newyearcelebrations #newyearnight #lastnightof2022 #tweet #tweeter #tweetfleet #TweetOfTheDay #tweetoftheyear #tweetlike,1
206,2022-12-31 17:28:15+00:00,"From Skyline home to your home, here’s wishing a very happy 2023. 

#HappyNewYear #newyear2023 #newyear #happy #new #year #newyeareve #Skyline",1
207,2022-12-31 17:26:54+00:00,#new! #happy! #year! when it turns up. may at least one of your dreams come true. unless you are a tory political - then all your nightmares visit you at the same time...,0
208,2022-12-31 17:26:47+00:00,"TOP 10 #TRENDING TWEETS IN THE #US NOW 

1.#Happy #New #Year
2.#Everton
3.#Pope #Benedict
4.#SugarBowl
5.#Happy #NYE
6.#Newcastle
7.#goodbye2022
8.#GoBlue
9.#Caturday
10.#Bama

❤️ &amp; #RETWEET 🐥",2
209,2022-12-31 17:22:30+00:00,"#Happy New year 2023🙏
To all my dear @Twitter friends, family, &amp; relatives !😍🌼🌴🙏",1
210,2022-12-31 17:16:43+00:00,Lenas here #happy new year guys,1
211,2022-12-31 17:10:26+00:00,#Warm #greetings #on #New #Year #to #everyone.#May #this #year #be #full #of #cheers #and #celebrations #for #you #and #your #loved #ones #With #lots #of #love #wishing #everyone #a #very #Happy #New #Year.#May #the #celebrations #are #much more merrier for you and your family.,1
212,2022-12-31 17:09:47+00:00,"#Happy New Year ! To #celebrate, I just bought an #NFT of a #bottle of champagne popping. It's the most #expensive #virtual #toast I've ever had, but at least I know it will never go flat!
@stoemanangels
@MetaLadies_ 
@barkmeta 
@ApesHapi
#NFTCommunity 
#NFTGiveaways",1
213,2022-12-31 17:05:04+00:00,It a moment saintly birth for the late #PopeBenedictXVI and a moment of #condolences and #happy new year for the rest of us. @Pontifex @HolySeePress @POTUS,2
214,2022-12-31 17:00:30+00:00,"welcome 2023!! 
happy new year ✨ selamat tahun baru ✨🥰👏🥳
#tahunbaru #anjay #betteryear #happy #smile #stressfree #aamiin",2
215,2022-12-31 16:55:44+00:00,"Not worried about the year, just focused on the days. #happy",2
216,2022-12-31 16:50:07+00:00,"happy new year my friends☃️

#HappyNewYear2023 #HappyNewYear #NewYear #Happy #Holiday #Friend",1
217,2022-12-31 16:38:12+00:00,@imVkohli Wishing you a Fabulous 2023 with full of great achievement and experiences A meaningful chapter waiting to be Written #HAPPY NEW YEAR 🤗❤️,1
218,2022-12-31 16:35:03+00:00,@bubblesnfts Happy #NewYearsEve #happy new year😍✌🏻🎆,1
219,2022-12-31 16:35:00+00:00,Wishing one and all a fun night tonight and a happy and healthy 2023! #HappyNew Year #HappyNewYear2023 #NewYearsEve #NewYearsResolutions #healthy #happy #party,1
220,2022-12-31 16:30:05+00:00,Thanks for following me on Twitter. What would you like to see? #funny #happy @thefactably,1
221,2022-12-31 16:25:05+00:00,#Happy and blessed New year to everyone. 🎉🎈💙💙💙,1
222,2022-12-31 16:23:43+00:00,#Happy Incanation Month 2Hrs to Go,2
223,2022-12-31 16:22:23+00:00,#HAPPY NEW YEAR 2023,1
224,2022-12-31 16:20:33+00:00,"Welps, this will be my last post for a while. Goin ghost ✌🏼 #happy new years",0
225,2022-12-31 16:20:15+00:00,"Let the son say in standard language that a #book will be written.  May everyone be #happy and start a new #life in the new #morning
Thanku so much all of you ✨💫
#Dil_Bechara7",1
226,2022-12-31 16:20:12+00:00,#Happy New Year 2023.🙏🙏🙏,1
227,2022-12-31 16:14:29+00:00,"Hope you did enjoy my first holidays special and I will see you with my nexy upcoming event very very soon.

#xmas #holidays #digitalart #oc #originalcharacter
#originalart #happy #happynewyear #clipstudiopaint",1
228,2022-12-31 16:12:26+00:00,"I FOUND THE DEAD MOUSE!!! For two days my house has been stinking death. I knew it was a mouse somewhere but couldn't find it. It was under the pillow in the couch, the dogs had smashed it when laying there! #doglife #ifoundit #happy",0
229,2022-12-31 16:08:03+00:00,"#Grateful for all the seasons🙏
#happy new year guys😊",1
230,2022-12-31 16:02:40+00:00,#Happy new year,1
231,2022-12-31 15:56:58+00:00,#Happy New #Years to the #family and #Friends!! I wish all a Great year full of #blessings &amp; Love.,1
232,2022-12-31 15:56:32+00:00,@Tomohisanine #Happy new year I love you,1
233,2022-12-31 15:54:47+00:00,###HAPPY NEW YEAR!  To: FLIP N WHIP N ALL,1
234,2022-12-31 15:44:05+00:00,#Happy New Year @CREnvSciTech,1
235,2022-12-31 15:41:09+00:00,@WriterHannahBT @rwritextinction @Natures_Voice #Happy New year 2023,2
236,2022-12-31 15:39:49+00:00,#HAPPY😁NEW✨YEAR🎍,1
237,2022-12-31 15:38:53+00:00,@manoxeditss Most welcome ❤️#happy new year,1
238,2022-12-31 15:33:58+00:00,@VisitBritain #HAPPY NEW YEAR 2023,1
239,2022-12-31 15:32:31+00:00,"HAPPY NEW YEAR
 ┏┓┏┓ ┏┓ ┏┓
 ┏┛┃┃ ┏┛     ┫
 ┗┛┗┛ ┗┛ ┗┛
　　 ヽ　｜　/
　 ＼　　☀　　／
⌒～⌒～⌒～⌒～⌒～
⌒～⌒～⌒～⌒～⌒～

#あけましておめでとう
#HAPPY NEW YEAR
#謹賀新年
#2023年 
#令和5年",1
240,2022-12-31 15:30:42+00:00,@WissamRHanna @LBCILebanon #Happy New Year,1
241,2022-12-31 15:19:50+00:00,"We’re all going to pack up carrying somethings from the past year to the new one while leaving some behind. 
I'll leave behind all the frets, the regrets, the thoughts unjust and doubts untrue. 
Wishing you all a #happy, #healthy, and a #prosperous #2023Ameen🎉🎊❣️",2
242,2022-12-31 15:19:50+00:00,"🐰🎍HAPPY NEW YEAR🎍🐰
　　┏━┳━┳ ━┳ ━┓
　　┣━┃┃┣━ ┣━ ┃
　　┃━┫┃┃ ━╋━ ┃
　　┗━┻━┻ ━┻ ━┛

#あけましておめでとう
#HAPPY NEW YEAR
#謹賀新年
#2023年 
#令和5年",2
243,2022-12-31 15:18:42+00:00,@LBCILebanon #happy new year,2
244,2022-12-31 15:17:20+00:00,"💕✨HAPPY✨💕
💕✨NEW    ✨💕
💕✨YEAR   ✨💕
┏┓┏┓ ┏┓ ┏┓
┏┛┃┃ ┏┛     ┫
┗┛┗┛ ┗┛ ┗┛ ⛄️

#あけましておめでとう
#HAPPY NEW YEAR
#謹賀新年
#2023年 
#令和5年",1
245,2022-12-31 15:11:25+00:00,"#happy new year 🎊🎆  i wish the next year, fcking biden is out of the office. Thanks",0
246,2022-12-31 15:07:13+00:00,@mayareddykp Happy New year my precious friend all happiness in your life bright light 💕#happy New year 2023,1
247,2022-12-31 15:06:02+00:00,"#HAPPY NEW YEAR 2023
🌨˚˛˚˚🌨 ˚˛ 🌨 ˚ * ˚˛˚🌛 ˚˛ 
° ˛ ° ˚* _Π_____*˚ ˛° ˛ ° ˚*
✩ ˚˛˚*/______/__＼。✩˚ ˚˛ 
🌲˚˛˚ |  田田 ｜門｜ ˚ ☃️
´´ ̛ ̛ ´´ ´´ ´´ ̛ ̛ ´´ ´´ ´´ ̛ ̛ ´´ ´´ ´´ ̛ ̛
Hare Krishna everyone ❤️",1
248,2022-12-31 15:04:53+00:00,#Happy simultaneous #birthday to all #Koreans for the last time.   🎂 😆,1
249,2022-12-31 15:04:22+00:00,"HAPPY NEW YEAR
┏━━┓┏━━┓┏━━┓┏━━┓
┗━┓┃┃┏┓┃┗━┓┃┗━┓┃
┏━┛┃┃┃┃┃┏━┛┃┏━┛┃
┃┏━┛┃┃┃┃┃┏━┛┗━┓┃
┃┗━┓┃┗┛┃┃┗━┓┏━┛┃
┗━━┛┗━━┛┗━━┛┗━━┛
#あけましておめでとう
#HAPPY NEW YEAR
#謹賀新年
#2023年 
#令和5年",1
250,2022-12-31 15:00:41+00:00,#HAPPY😁NEW✨YEAR🎍,1
251,2022-12-31 14:59:46+00:00,Another Beautiful Saturday #Happy,1
252,2022-12-31 14:52:05+00:00,@Skymazef3 @stephenkelley85 @narelleford @Susansailboat @teacherasleader @ReallyschoolK @RitaWirtz @drjessica17 @cmd8495 @Nancy_Mushinski @SWMaybelline @tracyscottkelly @santiagoAM115 @bekindtoall01 @kinderkeller4 @Serenity2326 Yes I actually was asleep i,2
253,2022-12-31 14:48:40+00:00,"#Happy new year, $Happy new roadmap on January!",1
254,2022-12-31 14:41:24+00:00,@TheAtlasBar @ILoveMCR @MCRWhatsOn @McrPulse @_lovemanchester @mcrwire @GreatManchester @OurCastlefield @whatsonmanchstr @katiebhughes @_PickledGinger #Happy new year to all the Team and #Congratulations on #10_year_Anniversary #🎂🙏❤️🏴󠁧󠁢,2
255,2022-12-31 14:39:56+00:00,@saylor #happy new year to you too,1
256,2022-12-31 14:35:33+00:00,@toastpunk Wow #happy new year,1
257,2022-12-31 14:32:17+00:00,"Time to be hopeful and expectant for the new year! 💖2️⃣💖0️⃣💖2️⃣💖3️⃣💖

“May every sunrise bring you hope, and may every sunset bring you peace.”

#Grateful #Blessed #Happy #Loved #HappyNewYear 💛💛💛2️⃣0️⃣2️⃣3️⃣ 💛💛💛",2
258,2022-12-31 14:28:22+00:00,"Don't waste time
on people who
don't value you.
- Ella Yoo 📝

#quote #quoteoftheday #qotd
#life #writing #writer #words #love #happiness #gratitude #chooselove #happy #HNY2023

(PS: I value you.💌)",2
259,2022-12-31 14:26:03+00:00,"This year's biggest lesson - "" others word doesn't hold any power unless and until you react on it ""
 I used to hate my bday but as I learnt above ( through hardest possible way) it was my happiest bday so far 🥰

Me enjoying with my cake recipe #happy",2
260,2022-12-31 14:23:17+00:00,"#healthy and #healing Twenty23 for all ~ ~
( #happy at meal time ~)",2
261,2022-12-31 14:22:36+00:00,#Happy New Year 2023 to All,1
262,2022-12-31 14:16:44+00:00,If you were #happy in a #goodmood you wouldnt be picking on me #MentalHealthAwareness,2
263,2022-12-31 14:12:33+00:00,@DogLovers03 @Aurellia42 #HAPPY BIRTHDAY#,1
264,2022-12-31 14:07:52+00:00,The Next sale is magical this year ❤️ such cute bits #sale #shopping #bargin #happy,1
265,2022-12-31 14:06:21+00:00,"@GabiGavi45 Happy New Year 2023
Late at night. 
My thought drift  to you.
And of our love,
That is brand new,
 I think  of all.
We ve shared thus far.
Every dream we wised.
Upon a star.
To thank  the one.
From heaven above.
Who blessed us with.
This wondr",1
266,2022-12-31 13:55:56+00:00,"#Happy New Year to all, may your creative endeavours be fulfilled.",1
267,2022-12-31 13:54:28+00:00,@iBeingAman #Happy New year#SidNaaz,1
268,2022-12-31 13:52:25+00:00,#Happy new year 2023,1
269,2022-12-31 13:42:36+00:00,"@ML_Philosophy # Ethics , logic , metaphysics, epistemology, ethics and aesthetics partained by life lessons.
#Happy New Year 🥳🎉🎊🎈",2
270,2022-12-31 13:40:25+00:00,"You all ma pipo am wishing you good luck for tha next year,Many trophies,Spread Love No evil.

#Happy New Year",1
271,2022-12-31 13:39:13+00:00,It's the most wonderful time of the year! Time to make all of your new year's resolutions that you know you won't keep! #Happy #New #Year,1
272,2022-12-31 13:29:43+00:00,"Turn Up! You can make the choice to go into 2023 Standing, Slaying, Staying focused, Representing you Can &amp; Will Deliver 💥💥 to being Immuned to people who Want Nothing but to be Messy &amp; keep MESS in their Life! @YMcTier #MTFA #FixYourLife #NewYear #Peaceful #choices #happy",2
273,2022-12-31 13:26:00+00:00,@AnnaRDelorenzo ❤️ #Happy 2023 #carissima Anna❤️,1
274,2022-12-31 13:15:41+00:00,@UNICEFCanada @NATO @UN #HAPPY #NEW #YEAR! #Peace to the #world.,1
275,2022-12-31 13:15:09+00:00,Happy new year may 2023 be much more successful and friendships for I and may everyone have a year of achievements and very happy #happy #2023NewYear,1
276,2022-12-31 13:01:39+00:00,Happy New Year! All the best! Enjoy that hangover! #happy #newyear,1
277,2022-12-31 12:59:03+00:00,Happy New Year! I wish you the best year of your life #happy #yolo,1
278,2022-12-31 12:56:13+00:00,#happy ya ges ya,1
279,2022-12-31 12:54:46+00:00,"Happy New Year, because all are always new! The permanent reality is change. Keep purity, and attain happiness for a happy new year. 

#happy #happynewyear #happynewyear2023",2
280,2022-12-31 12:52:18+00:00,"I want to start the first moment of this year with you... &lt;3💞😍💏
#HAPPY New Year
#wifey #Jaan",2
281,2022-12-31 12:45:08+00:00,"This post of gratitude and great love ❤️ We appreciate and love every collector, your support encourages us to develop further ❤️ ❤️ ❤️ #NFTCommunity #NFTFam #nftcollector #art #happy #love",2
282,2022-12-31 12:42:38+00:00,"If at least you’re happy,
it’s a happy ending
I’m not being sarcastic,
I hope you know I mean it
#HAPPY",1
283,2022-12-31 12:38:46+00:00,"@ScarbsTech I enjoy your tech expertise,although most goes over my feeble brain, but I enjoy it. Thanks. #Happy New Year.",1
284,2022-12-31 12:28:13+00:00,@_AntReynolds_ You utter legend! That’s so cool! #happy new year mate! Let’s be even more awesome in ‘23! 💙👋🏼,1
285,2022-12-31 12:25:05+00:00,"Tomorrow is a new leaf, a new chapter, a chance for change, a chance for endless possibilities!

#yearending #yearend2022 #newyear #newyear2023 #happy #HappyNewYear  #health #happiness #thankful #friends #family",2
286,2022-12-31 12:12:42+00:00,"Did you even love me at all?
Was it all a lie?
Like a fool,
I didn’t even notice
#HAPPY",1
287,2022-12-31 11:56:50+00:00,@thehairycats #happy new year to you two too...I hope the fireworks don't scare you too much! 😻😻,2
288,2022-12-31 11:52:44+00:00,"#Business #News 

Whoever wants to have a #website #designer, I can guarantee that you will be #happy with #results from the #website you can have.

#Phone +48 721 951 799",2
289,2022-12-31 11:50:57+00:00,"What has passed, let it pass. Let's move forward to the best and greatest.

May all the best and greatest things come to us.

Best wishes from a happy soul,
TMF Astrid Amalia

#newyear #happynewyear #happy #health #clean #body #soul #extraordinary #amazing #best #great",2
290,2022-12-31 11:44:47+00:00,This is the final day of what has been one heck of a year.  Things I want to accomplish in 2023-  1) buy a house  2) be happy #happy #happynewyear,2
291,2022-12-31 11:42:37+00:00,"If you were even a little sad
If you had a little bit of feelings left
You wouldn’t have been this cold
#HAPPY",0
